id,name,brand
beverage_black_coffee,Brewed black coffee,
beverage_iced_coffee,Iced coffee (lightly sweetened),
beverage_espresso_shot,Espresso shot,
beverage_latte_nonfat,Nonfat latte,
beverage_cappuccino_skim,Skim cappuccino,
beverage_cold_brew,Cold brew coffee,
beverage_green_tea,Green tea brewed,
beverage_black_tea,Black tea brewed,
beverage_herbal_tea,Herbal tea (chamomile),
beverage_matcha_latte,Matcha latte (light milk),
beverage_protein_shake_rtd,Ready-to-drink protein shake,
beverage_meal_replacement_shake,Meal replacement shake,
beverage_smoothie_green,Bottled green smoothie,
beverage_kombucha_plain,Plain kombucha,
beverage_sparkling_water,Sparkling water (unsweetened),
beverage_coconut_water,Coconut water (unsweetened),
beverage_almond_milk_unsweetened,Unsweetened almond milk,
beverage_almond_milk_sweetened,Sweetened almond milk,
beverage_almond_milk_vanilla,Vanilla almond milk,
beverage_soy_milk_unsweetened,Unsweetened soy milk,
beverage_soy_milk_sweetened,Sweetened soy milk,
beverage_soy_milk_vanilla,Vanilla soy milk,
beverage_cashew_milk_unsweetened,Unsweetened cashew milk,
beverage_cashew_milk_sweetened,Sweetened cashew milk,
beverage_oat_milk_unsweetened,Unsweetened oat milk,
beverage_oat_milk_sweetened,Sweetened oat milk,
beverage_oat_milk_vanilla,Vanilla oat milk,
beverage_rice_milk,Rice milk,
beverage_hemp_milk,Hemp milk,
beverage_macadamia_milk,Macadamia milk,
beverage_hazelnut_milk,Hazelnut milk,
beverage_flax_milk,Flax milk,
beverage_pea_milk,Pea milk,
beverage_coconut_milk_beverage,Coconut milk beverage (carton),
beverage_whole_milk,Whole milk,
beverage_2_percent_milk,2% reduced fat milk,
beverage_skim_milk,Skim milk,
beverage_buttermilk,Buttermilk,
beverage_heavy_cream,Heavy cream,
beverage_half_and_half,Half and half,
beverage_americano,American coffee,
beverage_mocha,Mocha coffee,
beverage_macchiato,Macchiato,
beverage_flat_white,Flat white,
beverage_cortado,Cortado,
beverage_red_eye,Red eye coffee,
beverage_white_tea,White tea brewed,
beverage_oolong_tea,Oolong tea brewed,
beverage_earl_grey_tea,Earl Grey tea,
beverage_chai_tea,Chai tea,
beverage_iced_tea_unsweetened,Unsweetened iced tea,
beverage_iced_tea_sweetened,Sweetened iced tea,
beverage_lemonade_fresh,Fresh lemonade,
beverage_apple_juice,Apple juice,
beverage_orange_juice,Orange juice,
beverage_cranberry_juice,Cranberry juice,
beverage_grapefruit_juice,Grapefruit juice,
beverage_pomegranate_juice,Pomegranate juice,
beverage_vegetable_juice,Vegetable juice blend,
beverage_tomato_juice,Tomato juice,
beverage_sports_drink,Sports drink,
beverage_isotonic_drink,Isotonic sports drink,
beverage_electrolyte_drink,Zero-sugar electrolyte drink,
beverage_energy_drink_sugarfree,Sugar-free energy drink,
beverage_energy_drink_regular,Regular energy drink,
beverage_soda_diet,Diet soda,
beverage_soda_regular,Regular soda,
beverage_seltzer_flavored,Flavored seltzer water,
beverage_tonic_water,Tonic water,
beverage_beer_light,Light beer,
beverage_wine_red,Red wine,
beverage_wine_white,White wine,
beverage_champagne,Champagne,
